Time_sec,Conductance_microS,Stage,RR_Interval_ms,Conductance_microS_Normalized,RR_Interval_ms_Normalized
323,12586.865102790633,Stress,925.0,0.5438520094765877,0.4139072847682119
324,12599.329967632322,Stress,920.0,0.5490988978115388,0.4105960264900662
325,13031.489290722102,Stress,930.0,0.7310095514735506,0.41721854304635764
326,13306.773014396598,Stress,935.0,0.8468858948510523,0.42052980132450335
327,13201.128432458407,Stress,940.0,0.8024164736690089,0.42384105960264895
328,12800.671779254975,Stress,945.0,0.6338505590736556,0.42715231788079466
329,12941.181038063894,Stress,967.5,0.6929957163104579,0.4420529801324503
330,12462.96940216382,Stress,990.0,0.49170006762838625,0.45695364238410596
331,12586.865102790633,Stress,1000.0,0.5438520094765877,0.4635761589403974
332,12487.652833261112,Stress,950.0,0.502090168791602,0.4304635761589404
333,13253.828036882753,Stress,960.0,0.8245995412932858,0.4370860927152318
334,13018.544917234602,Stress,930.0,0.7255608215340432,0.41721854304635764
335,13031.489290722102,Stress,880.0,0.7310095514735506,0.3841059602649006
336,13267.051145808871,Stress,915.0,0.8301656005211564,0.4072847682119205
337,12649.341285552555,Stress,950.0,0.57015037361524,0.4304635761589404
338,13057.438365626555,Stress,985.0,0.7419324054433414,0.45364238410596025
339,12661.866131154142,Stress,1000.0,0.575422509905418,0.4635761589403974
340,12826.087235349722,Stress,975.0,0.6445487946184958,0.4470198675496688
341,12649.341285552555,Stress,965.0,0.57015037361524,0.4403973509933775
342,12636.809256210045,Stress,960.0,0.5648752134425781,0.4370860927152318
343,13333.333333333334,Stress,925.0,0.858066042359404,0.4139072847682119
344,13031.489290722102,Stress,930.0,0.7310095514735506,0.41721854304635764
345,13070.426069749023,Stress,945.0,0.7473993747304908,0.42715231788079466
346,13333.333333333334,Stress,960.0,0.858066042359404,0.4370860927152318
347,12712.1498915018,Stress,1025.0,0.5965886660536359,0.48013245033112584
348,12826.087235349722,Stress,1045.0,0.6445487946184958,0.4933774834437086
349,13096.44483908398,Stress,1065.0,0.7583515654720063,0.5066225165562914
350,12599.329967632322,Stress,1040.0,0.5490988978115388,0.49006622516556286
351,12524.752041221464,Stress,955.0,0.5177064954790822,0.4337748344370861
352,12524.752041221464,Stress,915.0,0.5177064954790822,0.4072847682119205
353,13386.62996945171,Stress,850.0,0.880500421062524,0.36423841059602646
354,13135.598786270672,Stress,930.0,0.774832802241944,0.41721854304635764
355,13057.438365626555,Stress,965.0,0.7419324054433414,0.4403973509933775
356,13293.523661142764,Stress,1170.0,0.8413087884871961,0.5761589403973509
357,13346.644386668302,Stress,962.5,0.8636691203996545,0.4387417218543046
358,12649.341285552555,Stress,755.0,0.57015037361524,0.30132450331125826
359,12864.317470772272,Stress,1000.0,0.660641209484492,0.4635761589403974
360,13083.422518663503,Stress,985.0,0.752870024999968,0.45364238410596025
361,13386.62996945171,Stress,950.0,0.880500421062524,0.4304635761589404
362,12915.508037966429,Stress,957.5,0.6821890716780921,0.4354304635761589
363,12787.985431926994,Stress,965.0,0.6285104411779763,0.4403973509933775
364,12826.087235349722,Stress,1705.0,0.6445487946184958,0.9304635761589405
365,13240.63126033597,Stress,870.0,0.8190445662653412,0.3774834437086092
366,12889.886852573209,Stress,885.0,0.6714042376285718,0.38741721854304634
367,12979.798242016126,Stress,920.0,0.7092510194781054,0.4105960264900662
368,12724.750913000878,Stress,935.0,0.6018928673868791,0.42052980132450335
369,12450.66424293736,Stress,955.0,0.4865204048542582,0.4337748344370861
370,12524.752041221464,Stress,920.0,0.5177064954790822,0.4105960264900662
371,13320.048804658822,Stress,940.0,0.8524741294567866,0.42384105960264895
372,13293.523661142764,Stress,885.0,0.8413087884871961,0.38741721854304634
373,13520.968317667039,Stress,395.0,0.9370480307750855,0.06291390728476823
374,13057.438365626555,Stress,505.0,0.7419324054433414,0.1357615894039735
375,13306.773014396598,Stress,915.0,0.8468858948510523,0.4072847682119205
376,13018.544917234602,Stress,960.0,0.7255608215340432,0.4370860927152318
377,12724.750913000878,Stress,950.0,0.6018928673868791,0.4304635761589404
378,13615.90882787449,Stress,900.0,0.9770117417216939,0.3973509933774835
379,12864.317470772272,Stress,915.0,0.660641209484492,0.4072847682119205
