Time_sec,Resistance_Ohm,Stage,HeartRate_BPM,Resistance_Ohm_Normalized,HeartRate_BPM_Normalized
124,10818.5,Normal,106.0,0.3753769390546058,0.4482758620689653
125,10640.12,Normal,106.0,0.2733072790007043,0.4482758620689653
126,10619.33,Normal,105.0,0.261411168267883,0.4137931034482758
127,10839.69,Normal,105.0,0.387501931186808,0.4137931034482758
128,10807.93,Normal,105.0,0.36932874807596594,0.4137931034482758
129,10829.09,Normal,105.0,0.38143657410321463,0.4137931034482758
130,10671.38,Normal,105.0,0.2911943603623195,0.4137931034482758
131,10860.93,Normal,105.0,0.3996555334939327,0.4137931034482758
132,10818.5,Normal,106.0,0.3753769390546058,0.4482758620689653
133,10629.72,Normal,105.0,0.26735636261680096,0.4137931034482758
134,10765.72,Normal,106.0,0.34517603840629896,0.4482758620689653
135,10454.54,Normal,105.0,0.1671177537579478,0.4137931034482758
136,10786.8,Normal,105.0,0.35723808815367075,0.4137931034482758
137,10734.18,Normal,105.0,0.32712874006511683,0.4137931034482758
138,,Normal,105.0,,0.4137931034482758
139,11328.12,Normal,105.0,0.6669832859358111,0.4137931034482758
140,10914.2,Normal,105.0,0.43013681385648095,0.4137931034482758
141,11372.65,Normal,103.0,0.6924635077218859,0.34482758620689635
142,11043.17,Normal,103.0,0.5039338990518587,0.34482758620689635
143,11294.85,Normal,103.0,0.6479460755423059,0.34482758620689635
144,11032.36,Normal,103.0,0.49774837923359083,0.34482758620689635
145,11328.12,Normal,103.0,0.6669832859358111,0.34482758620689635
146,11439.79,Normal,103.0,0.7308812506079665,0.34482758620689635
147,11328.12,Normal,103.0,0.6669832859358111,0.34482758620689635
148,11328.12,Normal,103.0,0.6669832859358111,0.34482758620689635
149,11372.65,Normal,103.0,0.6924635077218859,0.34482758620689635
150,11383.81,Normal,103.0,0.6988492987646122,0.34482758620689635
151,10967.74,Normal,103.0,0.46077258916360986,0.34482758620689635
152,11383.81,Normal,103.0,0.6988492987646122,0.34482758620689635
153,11151.86,Normal,103.0,0.5661266972986274,0.34482758620689635
154,11250.65,Normal,103.0,0.6226546809107187,0.34482758620689635
155,11294.85,Normal,103.0,0.6479460755423059,0.34482758620689635
156,10871.56,Normal,103.0,0.40573805668247864,0.34482758620689635
157,11010.78,Normal,97.0,0.4854002277369931,0.13793103448275845
158,11043.17,Normal,100.0,0.5039338990518587,0.2413793103448274
159,10807.93,Normal,93.0,0.36932874807596594,0.0
160,10989.24,Normal,96.0,0.4730749643803325,0.10344827586206895
161,10797.36,Normal,96.0,0.363280557097327,0.10344827586206895
162,10924.89,Normal,98.0,0.4362536692549339,0.1724137931034484
163,11021.56,Normal,96.0,0.4915685814503066,0.10344827586206895
164,11140.94,Normal,96.0,0.55987823509553,0.10344827586206895
165,11140.94,Normal,96.0,0.55987823509553,0.10344827586206895
166,11086.51,Normal,96.0,0.528733198674777,0.10344827586206895
167,10702.73,Normal,96.0,0.3091329400387952,0.10344827586206895
168,10829.09,Normal,98.0,0.38143657410321463,0.1724137931034484
169,10807.93,Normal,99.0,0.36932874807596594,0.2068965517241379
170,11317.02,Normal,98.0,0.660631827102991,0.1724137931034484
171,11010.78,Normal,98.0,0.4854002277369931,0.1724137931034484
172,10957.01,Normal,98.0,0.4546328456252189,0.1724137931034484
173,10829.09,Normal,98.0,0.38143657410321463,0.1724137931034484
174,10702.73,Normal,98.0,0.3091329400387952,0.1724137931034484
175,10629.72,Normal,98.0,0.26735636261680096,0.1724137931034484
176,,Normal,98.0,,0.1724137931034484
177,10619.33,Normal,98.0,0.261411168267883,0.1724137931034484
178,10588.24,Normal,98.0,0.24362136150100433,0.1724137931034484
179,10608.96,Normal,100.0,0.2554774179889332,0.2413793103448274
180,10776.25,Normal,101.0,0.3512013412450008,0.27586206896551735
181,10526.32,Normal,100.0,0.20819052087684486,0.2413793103448274
182,10619.33,Normal,100.0,0.261411168267883,0.2413793103448274
183,10650.53,Normal,100.0,0.2792639174195921,0.2413793103448274
184,10734.18,Normal,100.0,0.32712874006511683,0.2413793103448274
185,10807.93,Normal,101.0,0.36932874807596594,0.27586206896551735
186,10989.24,Normal,100.0,0.4730749643803325,0.2413793103448274
187,11119.13,Normal,100.0,0.547398476794287,0.2413793103448274
188,10807.93,Normal,100.0,0.36932874807596594,0.2413793103448274
189,10660.95,Normal,100.0,0.28522627787346355,0.2413793103448274
