time,heart_rate,Stage
274,1.0,Remove 5 Easy Pieces (3 min)
275,1.0,Remove 5 Easy Pieces (3 min)
276,1.0,Remove 5 Easy Pieces (3 min)
277,0.9782608695652174,Remove 5 Easy Pieces (3 min)
278,0.9565217391304348,Remove 5 Easy Pieces (3 min)
279,0.9347826086956522,Remove 5 Easy Pieces (3 min)
280,0.9130434782608695,Remove 5 Easy Pieces (3 min)
281,0.8913043478260869,Remove 5 Easy Pieces (3 min)
282,0.8695652173913043,Remove 5 Easy Pieces (3 min)
283,0.8478260869565217,Remove 5 Easy Pieces (3 min)
284,0.8260869565217391,Remove 5 Easy Pieces (3 min)
285,0.8043478260869565,Remove 5 Easy Pieces (3 min)
286,0.8043478260869565,Remove 5 Easy Pieces (3 min)
287,0.782608695652174,Remove 5 Easy Pieces (3 min)
288,0.782608695652174,Remove 5 Easy Pieces (3 min)
289,0.7608695652173914,Remove 5 Easy Pieces (3 min)
290,0.7391304347826086,Remove 5 Easy Pieces (3 min)
291,0.717391304347826,Remove 5 Easy Pieces (3 min)
292,0.6956521739130435,Remove 5 Easy Pieces (3 min)
293,0.6739130434782609,Remove 5 Easy Pieces (3 min)
294,0.6304347826086957,Remove 5 Easy Pieces (3 min)
295,0.6086956521739131,Remove 5 Easy Pieces (3 min)
296,0.5869565217391305,Remove 5 Easy Pieces (3 min)
297,0.5652173913043478,Remove 5 Easy Pieces (3 min)
298,0.5652173913043478,Remove 5 Easy Pieces (3 min)
299,0.5652173913043478,Remove 5 Easy Pieces (3 min)
300,0.5869565217391305,Remove 5 Easy Pieces (3 min)
301,0.5869565217391305,Remove 5 Easy Pieces (3 min)
302,0.5869565217391305,Remove 5 Easy Pieces (3 min)
303,0.5434782608695652,Remove 5 Easy Pieces (3 min)
304,0.5217391304347826,Remove 5 Easy Pieces (3 min)
305,0.5,Remove 5 Easy Pieces (3 min)
306,0.4782608695652174,Remove 5 Easy Pieces (3 min)
307,0.4782608695652174,Remove 5 Easy Pieces (3 min)
308,0.4782608695652174,Remove 5 Easy Pieces (3 min)
309,0.4782608695652174,Remove 5 Easy Pieces (3 min)
310,0.4782608695652174,Remove 5 Easy Pieces (3 min)
311,0.45652173913043476,Remove 5 Easy Pieces (3 min)
312,0.41304347826086957,Remove 5 Easy Pieces (3 min)
313,0.391304347826087,Remove 5 Easy Pieces (3 min)
314,0.3695652173913043,Remove 5 Easy Pieces (3 min)
315,0.34782608695652173,Remove 5 Easy Pieces (3 min)
316,0.34782608695652173,Remove 5 Easy Pieces (3 min)
317,0.3695652173913043,Remove 5 Easy Pieces (3 min)
318,0.391304347826087,Remove 5 Easy Pieces (3 min)
319,0.41304347826086957,Remove 5 Easy Pieces (3 min)
320,0.43478260869565216,Remove 5 Easy Pieces (3 min)
321,0.43478260869565216,Remove 5 Easy Pieces (3 min)
322,0.45652173913043476,Remove 5 Easy Pieces (3 min)
323,0.45652173913043476,Remove 5 Easy Pieces (3 min)
324,0.5,Remove 5 Easy Pieces (3 min)
325,0.5,Remove 5 Easy Pieces (3 min)
326,0.5,Remove 5 Easy Pieces (3 min)
327,0.5,Remove 5 Easy Pieces (3 min)
328,0.4782608695652174,Remove 5 Easy Pieces (3 min)
329,0.4782608695652174,Remove 5 Easy Pieces (3 min)
330,0.45652173913043476,Remove 5 Easy Pieces (3 min)
331,0.45652173913043476,Remove 5 Easy Pieces (3 min)
332,0.45652173913043476,Remove 5 Easy Pieces (3 min)
333,0.43478260869565216,Remove 5 Easy Pieces (3 min)
334,0.41304347826086957,Remove 5 Easy Pieces (3 min)
335,0.391304347826087,Remove 5 Easy Pieces (3 min)
336,0.3695652173913043,Remove 5 Easy Pieces (3 min)
337,0.34782608695652173,Remove 5 Easy Pieces (3 min)
338,0.34782608695652173,Remove 5 Easy Pieces (3 min)
339,0.32608695652173914,Remove 5 Easy Pieces (3 min)
340,0.32608695652173914,Remove 5 Easy Pieces (3 min)
341,0.30434782608695654,Remove 5 Easy Pieces (3 min)
342,0.30434782608695654,Remove 5 Easy Pieces (3 min)
343,0.30434782608695654,Remove 5 Easy Pieces (3 min)
344,0.30434782608695654,Remove 5 Easy Pieces (3 min)
345,0.30434782608695654,Remove 5 Easy Pieces (3 min)
346,0.32608695652173914,Remove 5 Easy Pieces (3 min)
347,0.34782608695652173,Remove 5 Easy Pieces (3 min)
348,0.3695652173913043,Remove 5 Easy Pieces (3 min)
349,0.3695652173913043,Remove 5 Easy Pieces (3 min)
350,0.3695652173913043,Remove 5 Easy Pieces (3 min)
351,0.34782608695652173,Remove 5 Easy Pieces (3 min)
352,0.34782608695652173,Remove 5 Easy Pieces (3 min)
353,0.32608695652173914,Remove 5 Easy Pieces (3 min)
354,0.34782608695652173,Remove 5 Easy Pieces (3 min)
355,0.3695652173913043,Remove 5 Easy Pieces (3 min)
356,0.391304347826087,Remove 5 Easy Pieces (3 min)
357,0.41304347826086957,Remove 5 Easy Pieces (3 min)
358,0.43478260869565216,Remove 5 Easy Pieces (3 min)
359,0.45652173913043476,Remove 5 Easy Pieces (3 min)
360,0.45652173913043476,Remove 5 Easy Pieces (3 min)
361,0.43478260869565216,Remove 5 Easy Pieces (3 min)
362,0.41304347826086957,Remove 5 Easy Pieces (3 min)
363,0.391304347826087,Remove 5 Easy Pieces (3 min)
364,0.3695652173913043,Remove 5 Easy Pieces (3 min)
365,0.3695652173913043,Remove 5 Easy Pieces (3 min)
366,0.3695652173913043,Remove 5 Easy Pieces (3 min)
367,0.391304347826087,Remove 5 Easy Pieces (3 min)
368,0.391304347826087,Remove 5 Easy Pieces (3 min)
369,0.391304347826087,Remove 5 Easy Pieces (3 min)
370,0.391304347826087,Remove 5 Easy Pieces (3 min)
371,0.391304347826087,Remove 5 Easy Pieces (3 min)
372,0.391304347826087,Remove 5 Easy Pieces (3 min)
373,0.41304347826086957,Remove 5 Easy Pieces (3 min)
374,0.42391304347826086,Remove 5 Easy Pieces (3 min)
375,0.43478260869565216,Remove 5 Easy Pieces (3 min)
376,0.45652173913043476,Remove 5 Easy Pieces (3 min)
377,0.45652173913043476,Remove 5 Easy Pieces (3 min)
378,0.45652173913043476,Remove 5 Easy Pieces (3 min)
379,0.44565217391304346,Remove 5 Easy Pieces (3 min)
380,0.43478260869565216,Remove 5 Easy Pieces (3 min)
381,0.41304347826086957,Remove 5 Easy Pieces (3 min)
382,0.41304347826086957,Remove 5 Easy Pieces (3 min)
383,0.41304347826086957,Remove 5 Easy Pieces (3 min)
384,0.41304347826086957,Remove 5 Easy Pieces (3 min)
385,0.391304347826087,Remove 5 Easy Pieces (3 min)
386,0.391304347826087,Remove 5 Easy Pieces (3 min)
387,0.391304347826087,Remove 5 Easy Pieces (3 min)
388,0.41304347826086957,Remove 5 Easy Pieces (3 min)
389,0.42934782608695654,Remove 5 Easy Pieces (3 min)
390,0.44565217391304346,Remove 5 Easy Pieces (3 min)
391,0.4782608695652174,Remove 5 Easy Pieces (3 min)
392,0.4782608695652174,Remove 5 Easy Pieces (3 min)
393,0.4782608695652174,Remove 5 Easy Pieces (3 min)
394,0.45652173913043476,Remove 5 Easy Pieces (3 min)
395,0.43478260869565216,Remove 5 Easy Pieces (3 min)
396,0.41304347826086957,Remove 5 Easy Pieces (3 min)
397,0.391304347826087,Remove 5 Easy Pieces (3 min)
398,0.391304347826087,Remove 5 Easy Pieces (3 min)
399,0.3695652173913043,Remove 5 Easy Pieces (3 min)
400,0.3695652173913043,Remove 5 Easy Pieces (3 min)
401,0.3695652173913043,Remove 5 Easy Pieces (3 min)
402,0.3695652173913043,Remove 5 Easy Pieces (3 min)
403,0.34782608695652173,Remove 5 Easy Pieces (3 min)
404,0.32608695652173914,Remove 5 Easy Pieces (3 min)
405,0.30434782608695654,Remove 5 Easy Pieces (3 min)
406,0.2826086956521739,Remove 5 Easy Pieces (3 min)
407,0.2826086956521739,Remove 5 Easy Pieces (3 min)
408,0.2826086956521739,Remove 5 Easy Pieces (3 min)
409,0.2826086956521739,Remove 5 Easy Pieces (3 min)
410,0.2826086956521739,Remove 5 Easy Pieces (3 min)
411,0.2608695652173913,Remove 5 Easy Pieces (3 min)
412,0.2391304347826087,Remove 5 Easy Pieces (3 min)
413,0.2391304347826087,Remove 5 Easy Pieces (3 min)
414,0.2391304347826087,Remove 5 Easy Pieces (3 min)
415,0.2608695652173913,Remove 5 Easy Pieces (3 min)
416,0.2391304347826087,Remove 5 Easy Pieces (3 min)
417,0.34782608695652173,Remove 5 Easy Pieces (3 min)
418,0.3695652173913043,Remove 5 Easy Pieces (3 min)
419,0.32608695652173914,Remove 5 Easy Pieces (3 min)
420,0.32608695652173914,Remove 5 Easy Pieces (3 min)
421,0.32608695652173914,Remove 5 Easy Pieces (3 min)
422,0.32608695652173914,Remove 5 Easy Pieces (3 min)
423,0.32608695652173914,Remove 5 Easy Pieces (3 min)
424,0.41304347826086957,Remove 5 Easy Pieces (3 min)
425,0.43478260869565216,Remove 5 Easy Pieces (3 min)
426,0.43478260869565216,Remove 5 Easy Pieces (3 min)
427,0.41304347826086957,Remove 5 Easy Pieces (3 min)
428,0.391304347826087,Remove 5 Easy Pieces (3 min)
429,0.391304347826087,Remove 5 Easy Pieces (3 min)
430,0.3695652173913043,Remove 5 Easy Pieces (3 min)
431,0.3695652173913043,Remove 5 Easy Pieces (3 min)
432,0.34782608695652173,Remove 5 Easy Pieces (3 min)
433,0.32608695652173914,Remove 5 Easy Pieces (3 min)
434,0.30434782608695654,Remove 5 Easy Pieces (3 min)
435,0.30434782608695654,Remove 5 Easy Pieces (3 min)
436,0.30434782608695654,Remove 5 Easy Pieces (3 min)
437,0.30434782608695654,Remove 5 Easy Pieces (3 min)
438,0.3695652173913043,Remove 5 Easy Pieces (3 min)
439,0.391304347826087,Remove 5 Easy Pieces (3 min)
