df_hash,22ZHK4.NFTM31
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SGEY
person_label,V79
date_time_start,2025-11-03_15-27-37.395000_+03
date_time_start_unix,1762169257.395
date_time_end,2025-11-03_15-35-52.731000_+03
length_difference_noticed,no

time,acc_mag
32.346,1.039
32.376,1.032
32.406,1.034
32.436,1.038
32.466,1.038
32.496,1.035
32.526,1.032
32.556,1.037
32.586,1.034
32.616,1.033
32.646,1.037
32.676,1.038
32.706,1.041
32.736,1.039
32.766,1.031
32.796,1.035
32.826,1.036
32.856,1.037
32.886,1.037
32.916,1.037
32.946,1.037
32.976,1.043
33.006,1.036
33.036,1.032
33.066,1.038
33.096,1.039
33.126,1.036
33.156,1.032
33.186,1.038
33.216,1.037
33.246,1.037
33.276,1.036
33.306,1.034
33.336,1.037
33.366,1.038
33.396,1.035
33.426,1.037
33.456,1.038
33.486,1.035
33.516,1.034
33.546,1.035
33.576,1.030
33.606,1.038
33.636,1.037
33.666,1.035
33.696,1.035
33.726,1.033
33.756,1.039
33.786,1.039
33.816,1.039
33.846,1.037
33.876,1.035
33.906,1.032
33.936,1.037
33.966,1.035
33.996,1.039
34.026,1.037
34.056,1.031
34.086,1.032
34.116,1.036
34.146,1.037
34.176,1.037
34.206,1.035
34.236,1.036
34.266,1.037
34.296,1.035
34.326,1.034
34.356,1.035
34.386,1.039
34.416,1.036
34.446,1.039
34.476,1.037
34.506,1.037
34.536,1.034
34.566,1.040
34.596,1.031
34.626,1.036
34.656,1.039
34.686,1.036
34.716,1.032
34.746,1.033
34.776,1.033
34.806,1.035
34.836,1.035
34.866,1.034
34.896,1.036
34.926,1.036
34.956,1.035
34.986,1.039
35.016,1.034
35.046,1.040
35.076,1.036
35.106,1.036
35.136,1.036
35.166,1.036
35.196,1.034
35.226,1.038
35.256,1.038
35.286,1.040
35.316,1.036
35.346,1.036
35.376,1.035
35.406,1.033
35.436,1.037
35.466,1.037
35.496,1.038
35.526,1.035
35.556,1.038
35.586,1.036
35.616,1.033
35.646,1.036
35.676,1.039
35.706,1.037
35.736,1.035
35.766,1.041
35.796,1.036
35.826,1.036
35.856,1.038
35.886,1.036
35.916,1.037
35.946,1.037
35.976,1.035
36.006,1.034
36.036,1.036
36.066,1.035
36.096,1.040
36.126,1.037
36.156,1.040
36.186,1.039
36.216,1.037
36.246,1.032
36.276,1.037
36.306,1.042
36.336,1.036
36.366,1.035
36.396,1.032
36.426,1.037
36.456,1.036
36.486,1.039
36.516,1.036
36.546,1.034
36.576,1.038
36.606,1.039
36.636,1.037
36.666,1.035
36.696,1.037
36.726,1.036
36.756,1.035
36.786,1.034
36.816,1.041
36.846,1.037
36.876,1.031
36.906,1.035
36.936,1.040
36.966,1.034
36.996,1.039
37.026,1.037
37.056,1.034
37.086,1.035
37.116,1.042
37.146,1.039
37.176,1.039
37.206,1.039
37.236,1.035
37.266,1.032
37.296,1.037
37.326,1.034
37.356,1.041
37.386,1.037
37.416,1.036
37.446,1.036
37.476,1.037
37.506,1.039
37.536,1.035
37.566,1.038
37.596,1.036
37.626,1.036
37.656,1.042
37.686,1.034
37.716,1.034
37.746,1.040
37.776,1.038
37.806,1.038
37.836,1.037
37.866,1.033
37.896,1.034
37.926,1.033
37.956,1.037
37.986,1.035
38.016,1.036
38.046,1.033
38.076,1.038
38.106,1.038
38.136,1.035
38.166,1.038
38.196,1.040
38.226,1.038
38.256,1.036
38.286,1.035
38.316,1.034
38.346,1.036
38.376,1.032
38.406,1.036
38.436,1.041
38.466,1.038
38.496,1.040
38.526,1.035
38.556,1.032
38.586,1.036
38.616,1.036
38.646,1.036
38.676,1.037
38.706,1.036
38.736,1.039
38.766,1.033
38.796,1.036
38.826,1.038
38.856,1.036
38.886,1.035
38.916,1.034
38.946,1.036
38.976,1.038
39.006,1.037
39.036,1.034
39.066,1.040
39.096,1.033
39.126,1.036
39.156,1.032
39.186,1.040
39.216,1.041
39.246,1.034
39.276,1.034
39.306,1.035
39.336,1.037
39.366,1.035
39.396,1.037
39.426,1.038
39.456,1.037
39.486,1.037
39.516,1.036
39.546,1.044
39.576,1.039
39.606,1.035
39.636,1.039
39.666,1.042
39.696,1.037
39.726,1.035
39.756,1.036
39.786,1.038
39.816,1.039
39.846,1.041
39.876,1.034
39.906,1.037
39.936,1.040
39.966,1.035
39.996,1.035
40.026,1.032
40.056,1.037
40.086,1.037
40.116,1.038
40.146,1.035
40.176,1.037
40.206,1.034
40.236,1.039
40.266,1.039
40.296,1.033
40.326,1.039
40.356,1.035
40.386,1.034
40.416,1.038
40.446,1.036
40.476,1.038
40.506,1.039
40.536,1.035
40.566,1.038
40.596,1.036
40.626,1.039
40.656,1.040
40.686,1.037
40.716,1.032
40.746,1.037
40.776,1.038
40.806,1.039
40.836,1.035
40.866,1.035
40.896,1.034
40.926,1.040
40.956,1.042
40.986,1.034
41.016,1.038
41.046,1.037
41.076,1.039
41.106,1.036
41.136,1.039
41.166,1.040
41.196,1.037
41.226,1.035
41.256,1.037
41.286,1.036
41.316,1.036
41.346,1.038
41.376,1.035
41.406,1.034
41.436,1.035
41.466,1.036
41.496,1.039
41.526,1.037
41.556,1.038
41.586,1.036
41.616,1.038
41.646,1.041
41.676,1.039
41.706,1.038
41.736,1.034
41.766,1.041
41.796,1.039
41.826,1.038
41.856,1.038
41.886,1.037
41.916,1.034
41.946,1.040
41.976,1.037
42.006,1.038
42.036,1.040
42.066,1.037
42.096,1.036
42.126,1.037
42.156,1.035
42.186,1.039
42.216,1.040
42.246,1.036
42.276,1.036
42.306,1.033
42.336,1.042
42.366,1.039
42.396,1.030
42.426,1.033
42.456,1.038
42.486,1.042
42.516,1.037
42.546,1.037
42.576,1.037
42.606,1.039
42.636,1.036
42.666,1.036
42.696,1.041
42.726,1.040
42.756,1.039
42.786,1.035
42.816,1.036
42.846,1.036
42.876,1.038
42.906,1.038
42.936,1.036
42.966,1.036
42.996,1.037
43.026,1.042
43.056,1.041
43.086,1.034
43.116,1.033
43.146,1.039
43.176,1.040
43.206,1.038
43.236,1.037
43.266,1.035
43.296,1.037
43.326,1.039
43.356,1.039
43.386,1.035
43.416,1.040
43.446,1.038
43.476,1.039
43.506,1.034
43.536,1.038
43.566,1.038
43.596,1.033
43.626,1.035
43.656,1.035
43.686,1.036
43.716,1.038
43.746,1.037
43.776,1.036
43.806,1.034
43.836,1.042
43.866,1.042
43.896,1.037
43.926,1.032
43.956,1.034
43.986,1.039
44.016,1.042
44.046,1.040
44.076,1.031
44.106,1.036
44.136,1.039
44.166,1.040
44.196,1.035
44.226,1.036
44.256,1.031
44.286,1.039
44.316,1.037
44.346,1.036
44.376,1.037
44.406,1.041
44.436,1.034
44.466,1.030
44.496,1.036
44.526,1.044
44.556,1.034
44.586,1.036
44.616,1.038
44.646,1.040
44.676,1.040
44.706,1.040
44.736,1.039
44.766,1.035
44.796,1.038
44.826,1.035
44.856,1.032
44.886,1.038
44.916,1.035
44.946,1.037
44.976,1.038
45.006,1.036
45.036,1.036
45.066,1.041
45.096,1.037
45.126,1.031
45.156,1.037
45.186,1.042
45.216,1.037
45.246,1.035
45.276,1.039
45.306,1.035
45.336,1.041
45.366,1.037
45.396,1.035
45.426,1.035
45.456,1.037
45.486,1.039
45.516,1.033
45.546,1.032
45.576,1.038
45.606,1.041
45.636,1.038
45.666,1.034
45.696,1.034
45.726,1.034
45.756,1.039
45.786,1.039
45.816,1.035
45.846,1.037
45.876,1.034
45.906,1.036
45.936,1.036
45.966,1.042
45.996,1.041
46.026,1.034
46.056,1.030
46.086,1.038
46.116,1.038
46.146,1.041
46.176,1.038
46.206,1.040
46.236,1.038
46.266,1.036
46.296,1.039
46.326,1.038
46.356,1.036
46.386,1.033
46.416,1.032
46.446,1.034
46.476,1.036
46.506,1.041
46.536,1.039
46.566,1.033
46.596,1.035
46.626,1.039
46.656,1.038
46.686,1.038
46.716,1.033
46.746,1.039
46.776,1.041
46.806,1.042
46.836,1.035
46.866,1.038
46.896,1.042
46.926,1.039
46.956,1.033
46.986,1.034
47.016,1.037
47.046,1.038
47.076,1.037
47.106,1.039
47.136,1.037
47.166,1.034
47.196,1.041
47.226,1.040
47.256,1.041
47.286,1.038
47.316,1.033
47.346,1.040
47.376,1.041
47.406,1.041
47.436,1.038
47.466,1.035
47.496,1.036
47.526,1.038
47.556,1.034
47.586,1.038
47.616,1.037
47.646,1.038
47.676,1.038
47.706,1.038
47.736,1.034
47.766,1.038
47.796,1.037
47.826,1.035
47.856,1.037
47.886,1.036
47.916,1.039
47.946,1.038
47.976,1.040
48.006,1.034
48.036,1.037
48.066,1.039
48.096,1.041
48.126,1.034
48.156,1.036
48.186,1.037
48.216,1.038
48.246,1.036
48.276,1.039
48.306,1.038
48.336,1.034
48.366,1.037
48.396,1.037
48.426,1.038
48.456,1.038
48.486,1.040
48.516,1.035
48.546,1.039
48.576,1.038
48.606,1.039
48.636,1.039
48.666,1.039
48.696,1.039
48.726,1.035
48.756,1.039
48.786,1.035
48.816,1.037
48.846,1.037
48.876,1.037
48.906,1.034
48.936,1.042
48.966,1.034
48.996,1.039
49.026,1.038
49.056,1.035
49.086,1.037
49.116,1.034
49.146,1.036
49.176,1.037
49.206,1.038
49.236,1.038
49.266,1.040
49.296,1.039
49.326,1.031
49.356,1.039
49.386,1.040
49.416,1.037
49.446,1.035
49.476,1.040
49.506,1.037
49.536,1.037
49.566,1.037
49.596,1.037
49.626,1.042
49.656,1.042
49.686,1.037
49.716,1.036
49.746,1.033
49.776,1.035
49.806,1.038
49.836,1.035
49.866,1.040
49.896,1.037
49.926,1.039
49.956,1.038
49.986,1.034
50.016,1.039
50.046,1.039
50.076,1.036
50.106,1.039
50.136,1.037
50.166,1.039
50.196,1.039
50.226,1.036
50.256,1.034
50.286,1.037
50.316,1.040
50.346,1.038
50.376,1.036
50.406,1.037
50.436,1.035
50.466,1.038
50.496,1.038
50.526,1.035
50.556,1.031
50.586,1.037
50.616,1.037
50.646,1.042
50.676,1.043
50.706,1.034
50.736,1.035
50.766,1.040
50.796,1.036
50.826,1.040
50.856,1.039
50.886,1.039
50.916,1.038
50.946,1.039
50.976,1.035
51.006,1.037
51.036,1.040
51.066,1.037
51.096,1.034
51.126,1.035
51.156,1.035
51.186,1.039
51.216,1.040
51.246,1.039
51.276,1.038
51.306,1.037
51.336,1.037
51.366,1.041
51.396,1.039
51.426,1.037
51.456,1.040
51.486,1.039
51.516,1.035
51.546,1.039
51.576,1.039
51.606,1.039
51.636,1.035
51.666,1.037
51.696,1.039
51.726,1.035
51.756,1.037
51.786,1.036
51.816,1.038
51.846,1.041
51.876,1.040
51.906,1.038
51.936,1.036
51.966,1.038
51.996,1.039
52.026,1.041
52.056,1.039
52.086,1.035
52.116,1.036
52.146,1.037
52.176,1.040
52.206,1.040
52.236,1.035
52.266,1.038
52.296,1.037
52.326,1.036
52.356,1.038
52.386,1.043
52.416,1.039
52.446,1.036
52.476,1.037
52.506,1.038
52.536,1.041
52.566,1.038
52.596,1.039
52.626,1.037
52.656,1.039
52.686,1.037
52.716,1.035
52.746,1.036
52.776,1.038
52.806,1.036
52.836,1.037
52.866,1.036
52.896,1.038
52.926,1.036
52.956,1.040
52.986,1.037
53.016,1.041
53.046,1.038
53.076,1.041
53.106,1.042
53.136,1.034
53.166,1.039
53.196,1.037
53.226,1.037
53.256,1.037
53.286,1.036
53.316,1.036
53.346,1.037
53.376,1.032
53.406,1.040
53.436,1.036
53.466,1.037
53.496,1.039
53.526,1.037
53.556,1.035
53.586,1.033
53.616,1.035
53.646,1.039
53.676,1.039
53.706,1.037
53.736,1.037
53.766,1.038
53.796,1.038
53.826,1.038
53.856,1.038
53.886,1.039
53.916,1.040
53.946,1.036
53.976,1.039
54.006,1.036
54.036,1.040
54.066,1.038
54.096,1.035
54.126,1.037
54.156,1.037
54.186,1.036
54.216,1.040
54.246,1.035
54.276,1.038
54.306,1.038
54.336,1.038
54.366,1.039
54.396,1.037
54.426,1.038
54.456,1.040
54.486,1.042
54.516,1.037
54.546,1.039
54.576,1.035
54.606,1.039
54.636,1.041
54.666,1.040
54.696,1.036
54.726,1.039
54.756,1.037
54.786,1.035
54.816,1.039
54.846,1.039
54.876,1.039
54.906,1.041
54.936,1.037
54.966,1.035
54.996,1.039
55.026,1.037
55.056,1.038
55.086,1.036
55.116,1.039
55.146,1.038
55.176,1.038
55.206,1.034
55.236,1.037
55.266,1.036
55.296,1.039
55.326,1.040
55.356,1.037
