df_hash,22ZHK4.KE15WD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1X32
person_label,V155
date_time_start,2026-06-08_19-32-32.863000_+03
date_time_start_unix,1780929152.863
date_time_end,2026-06-08_19-45-47.480000_+03
length_difference_noticed,no

time,acc_mag
36.042,1.021
36.072,1.034
36.102,1.030
36.132,1.024
36.162,1.021
36.192,1.010
36.222,0.975
36.252,0.980
36.282,1.003
36.312,1.035
36.342,1.044
36.372,1.041
36.402,1.068
36.432,1.073
36.462,1.092
36.492,1.093
36.522,1.084
36.552,1.042
36.582,1.022
36.612,1.008
36.642,1.063
36.672,1.042
36.702,1.047
36.732,1.050
36.762,1.038
36.792,1.046
36.822,1.063
36.852,1.029
36.882,1.054
36.912,1.065
36.942,1.059
36.972,1.030
37.002,1.029
37.032,1.029
37.062,1.027
37.092,1.034
37.122,1.032
37.152,1.018
37.182,1.026
37.212,1.007
37.242,1.006
37.272,1.023
37.302,1.021
37.332,1.001
37.362,1.023
37.392,1.019
37.422,1.034
37.452,1.008
37.482,1.040
37.512,1.009
37.542,1.024
37.572,1.022
37.602,1.029
37.632,1.033
37.662,1.043
37.692,1.054
37.722,1.036
37.752,1.013
37.782,0.997
37.812,1.025
37.842,1.017
37.872,1.007
37.902,1.026
37.932,1.005
37.962,1.022
37.992,1.021
38.022,0.999
38.052,1.028
38.082,1.025
38.112,1.018
38.142,1.014
38.172,1.021
38.202,1.021
38.232,1.028
38.262,1.038
38.292,1.034
38.322,1.028
38.352,1.028
38.382,1.019
38.412,1.031
38.442,1.022
38.472,1.018
38.502,1.026
38.532,1.048
38.562,1.022
38.592,1.010
38.622,1.020
38.652,1.031
38.682,1.024
38.712,1.026
38.742,1.025
38.772,1.010
38.802,1.016
38.832,1.016
38.862,1.023
38.892,1.041
38.922,1.031
38.952,1.027
38.982,1.006
39.012,1.030
39.042,1.027
39.072,1.011
39.102,0.992
39.132,1.008
39.162,1.010
39.192,1.024
39.222,1.011
39.252,1.010
39.282,1.024
39.312,1.014
39.342,1.008
39.372,0.995
39.402,1.023
39.432,1.037
39.462,0.996
39.492,1.012
39.522,1.010
39.552,1.007
39.582,1.001
39.612,0.998
39.642,1.013
39.672,1.002
39.702,0.998
39.732,1.002
39.762,1.001
39.792,0.992
39.822,1.017
39.852,1.017
39.882,1.034
39.912,1.010
39.942,1.001
39.972,1.020
40.002,1.039
40.032,1.023
40.062,1.013
40.092,0.996
40.122,1.000
40.152,1.010
40.182,1.016
40.212,0.998
40.242,1.007
40.272,1.021
40.302,1.011
40.332,1.024
40.362,1.025
40.392,0.999
40.422,0.989
40.452,0.992
40.482,1.001
40.512,1.005
40.542,1.004
40.572,1.013
40.602,1.016
40.632,1.029
40.662,0.998
40.692,1.003
40.722,1.022
40.752,1.025
40.782,1.021
40.812,1.009
40.842,1.018
40.872,1.013
40.902,1.026
40.932,1.023
40.962,1.014
40.992,1.012
41.022,1.021
41.052,1.023
41.082,1.020
41.112,1.020
41.142,1.016
41.172,1.025
41.202,1.022
41.232,1.010
41.262,1.020
41.292,1.022
41.322,1.007
41.352,1.014
41.382,1.017
