df_hash,22ZHK4.W0890N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T31E
person_label,V42
date_time_start,2025-10-27_14-12-39.001000_+03
date_time_start_unix,1761559959.001
date_time_end,2025-10-27_14-20-55.956000_+03
length_difference_noticed,no

time,acc_mag
48.266,1.021
48.296,1.012
48.326,1.020
48.356,1.026
48.386,1.017
48.416,1.020
48.446,1.021
48.476,1.019
48.506,1.021
48.536,1.025
48.566,1.025
48.596,1.009
48.626,1.020
48.656,1.023
48.686,1.019
48.716,1.024
48.746,1.013
48.776,1.022
48.806,1.016
48.836,1.023
48.866,1.022
48.896,1.021
48.926,1.018
48.956,1.021
48.986,1.019
49.016,1.020
49.046,1.029
49.076,1.019
49.106,1.017
49.136,1.018
49.166,1.022
49.196,1.018
49.226,1.018
49.256,1.018
49.286,1.027
49.316,1.024
49.346,1.021
49.376,1.016
49.406,1.017
49.436,1.027
49.466,1.020
49.496,1.013
49.526,1.008
49.556,1.022
49.586,1.029
49.616,1.011
49.646,1.020
49.676,1.026
49.706,1.021
49.736,1.011
49.766,1.014
49.796,1.026
49.826,1.019
49.856,1.015
49.886,1.023
49.916,1.021
49.946,1.017
49.976,1.015
50.006,1.018
50.036,1.015
50.066,1.029
50.096,1.029
50.126,1.013
50.156,1.011
50.186,1.013
50.216,1.021
50.246,1.029
50.276,1.023
50.306,1.025
50.336,1.012
50.366,1.009
50.396,1.012
50.426,1.021
50.456,1.032
50.486,1.021
50.516,1.018
50.546,1.014
50.576,1.015
50.606,1.027
50.636,1.017
50.666,1.021
50.696,1.015
50.726,1.016
50.756,1.019
50.786,1.019
50.816,1.021
50.846,1.024
50.876,1.021
50.906,1.015
50.936,1.018
50.966,1.020
50.996,1.020
51.026,1.025
51.056,1.015
51.086,1.017
51.116,1.016
51.146,1.023
51.176,1.025
51.206,1.018
51.236,1.015
51.266,1.020
51.296,1.017
51.326,1.027
51.356,1.021
51.386,1.021
51.416,1.016
51.446,1.015
51.476,1.016
51.506,1.023
51.536,1.017
51.566,1.020
51.596,1.023
51.626,1.021
51.656,1.020
51.686,1.023
51.716,1.028
51.746,1.019
51.776,1.012
51.806,1.021
51.836,1.023
51.866,1.021
51.896,1.015
51.926,1.024
51.956,1.020
51.986,1.019
52.016,1.014
52.046,1.028
52.076,1.014
52.106,1.020
52.136,1.021
52.166,1.026
52.196,1.021
52.226,1.012
52.256,1.024
52.286,1.020
52.316,1.015
52.346,1.019
52.376,1.018
52.406,1.016
52.436,1.021
52.466,1.022
52.496,1.029
52.526,1.017
52.556,1.013
52.586,1.016
52.616,1.024
52.646,1.017
52.676,1.024
52.706,1.018
52.736,1.014
52.766,1.013
52.796,1.025
52.826,1.029
52.856,1.014
52.886,1.014
52.916,1.019
52.946,1.024
52.976,1.028
53.006,1.014
53.036,1.018
53.066,1.020
53.096,1.016
53.126,1.022
53.156,1.019
53.186,1.021
53.216,1.019
53.246,1.025
53.276,1.017
53.306,1.015
53.336,1.016
53.366,1.024
53.396,1.025
53.426,1.014
53.456,1.021
53.486,1.018
53.516,1.021
53.546,1.023
53.576,1.016
53.606,1.026
53.636,1.024
53.666,1.017
53.696,1.018
53.726,1.014
53.756,1.023
53.786,1.023
53.816,1.019
53.846,1.020
53.876,1.015
53.906,1.021
53.936,1.021
53.966,1.021
53.996,1.026
54.026,1.017
54.056,1.021
54.086,1.014
54.116,1.019
54.146,1.019
54.176,1.016
54.206,1.021
54.236,1.021
54.266,1.020
54.296,1.014
54.326,1.019
54.356,1.020
54.386,1.025
54.416,1.022
54.446,1.017
54.476,1.019
54.506,1.018
54.536,1.020
54.566,1.015
54.596,1.017
54.626,1.025
54.656,1.019
54.686,1.019
54.716,1.018
54.746,1.018
54.776,1.018
54.806,1.028
54.836,1.012
54.866,1.022
54.896,1.023
54.926,1.014
54.956,1.021
54.986,1.021
55.016,1.023
55.046,1.020
55.076,1.021
55.106,1.021
55.136,1.017
55.166,1.022
55.196,1.019
55.226,1.019
55.256,1.019
55.286,1.027
55.316,1.015
55.346,1.016
55.376,1.021
55.406,1.014
55.436,1.021
55.466,1.019
55.496,1.021
55.526,1.021
55.556,1.014
55.586,1.020
55.616,1.018
55.646,1.023
55.676,1.019
55.706,1.023
55.736,1.021
55.766,1.021
55.796,1.007
55.826,1.018
55.856,1.029
55.886,1.023
55.916,1.021
55.946,1.011
55.976,1.017
56.006,1.022
56.036,1.019
56.066,1.022
56.096,1.013
56.126,1.026
56.156,1.017
56.186,1.013
56.216,1.021
56.246,1.020
56.276,1.021
56.306,1.021
56.336,1.022
56.366,1.018
56.396,1.009
56.426,1.025
56.456,1.029
56.486,1.005
56.516,1.015
56.546,1.022
56.576,1.021
56.606,1.021
56.636,1.021
56.666,1.016
56.696,1.023
56.726,1.020
56.756,1.014
56.786,1.024
56.816,1.020
56.846,1.019
56.876,1.025
56.906,1.022
56.936,1.016
56.966,1.022
56.996,1.031
57.026,1.014
57.056,1.009
57.086,1.024
57.116,1.024
57.146,1.021
57.176,1.022
57.206,1.016
57.236,1.021
57.266,1.018
57.296,1.021
57.326,1.018
57.356,1.013
57.386,1.029
57.416,1.010
57.446,1.016
57.476,1.020
57.506,1.033
57.536,1.021
57.566,1.009
57.596,1.015
57.626,1.020
57.656,1.028
57.686,1.013
57.716,1.013
57.746,1.021
57.776,1.021
57.806,1.018
57.836,1.021
57.866,1.019
57.896,1.019
57.926,1.021
57.956,1.017
57.986,1.014
58.016,1.016
58.046,1.035
58.076,1.022
58.106,1.010
58.136,1.021
58.166,1.022
58.196,1.024
58.226,1.026
58.256,1.015
58.286,1.025
58.316,1.019
58.346,1.018
58.376,1.017
58.406,1.018
58.436,1.021
58.466,1.021
58.496,1.012
58.526,1.015
58.556,1.019
58.586,1.020
58.616,1.031
58.646,1.012
58.676,1.014
58.706,1.021
58.736,1.021
58.766,1.018
58.796,1.018
58.826,1.017
58.856,1.022
58.886,1.018
58.916,1.021
58.946,1.017
58.976,1.018
59.006,1.021
59.036,1.020
59.066,1.018
59.096,1.018
59.126,1.015
59.156,1.013
59.186,1.024
59.216,1.028
59.246,1.016
59.276,1.015
59.306,1.020
59.336,1.021
59.366,1.018
59.396,1.019
59.426,1.019
59.456,1.021
59.486,1.021
59.516,1.019
59.546,1.021
59.576,1.020
59.606,1.021
59.636,1.021
59.666,1.018
59.696,1.019
59.726,1.015
59.756,1.023
59.786,1.016
59.816,1.023
59.846,1.021
59.876,1.019
59.906,1.021
59.936,1.005
59.966,1.028
59.996,1.025
60.026,1.018
60.056,1.021
60.086,1.016
60.116,1.023
60.146,1.023
60.176,1.020
60.206,1.021
60.236,1.019
60.266,1.022
60.296,1.018
60.326,1.027
60.356,1.017
60.386,1.014
60.416,1.029
60.446,1.019
60.476,1.020
60.506,1.016
60.536,1.021
60.566,1.017
60.596,1.022
60.626,1.023
60.656,1.014
60.686,1.021
60.716,1.015
60.746,1.024
60.776,1.022
60.806,1.020
60.836,1.019
60.866,1.016
60.896,1.021
60.926,1.018
60.956,1.021
60.986,1.016
61.016,1.027
61.046,1.016
61.076,1.017
61.106,1.019
61.136,1.021
61.166,1.022
61.196,1.019
61.226,1.020
61.256,1.019
61.286,1.014
61.316,1.023
61.346,1.020
61.376,1.015
61.406,1.021
61.436,1.013
61.466,1.029
61.496,1.023
61.526,1.017
61.556,1.017
61.586,1.021
61.616,1.025
61.646,1.027
61.676,1.017
61.706,1.022
61.736,1.024
61.766,1.016
61.796,1.021
61.826,1.022
61.856,1.019
61.886,1.019
61.916,1.026
61.946,1.021
61.976,1.016
62.006,1.019
62.036,1.014
62.066,1.024
62.096,1.021
62.126,1.024
62.156,1.015
62.186,1.011
62.216,1.024
62.246,1.023
62.276,1.012
62.306,1.025
62.336,1.016
62.366,1.019
62.396,1.023
62.426,1.016
62.456,1.018
62.486,1.019
62.516,1.022
62.546,1.023
62.576,1.017
62.606,1.010
62.636,1.018
62.666,1.019
62.696,1.028
62.726,1.021
62.756,1.012
62.786,1.020
62.816,1.014
62.846,1.024
62.876,1.026
62.906,1.014
62.936,1.015
62.966,1.025
62.996,1.021
63.026,1.015
63.056,1.017
63.086,1.023
63.116,1.019
63.146,1.022
63.176,1.020
63.206,1.009
63.236,1.018
63.266,1.022
63.296,1.025
63.326,1.013
63.356,1.022
63.386,1.019
63.416,1.019
63.446,1.019
63.476,1.017
63.506,1.015
63.536,1.024
63.566,1.021
63.596,1.016
63.626,1.021
63.656,1.020
63.686,1.021
63.716,1.021
63.746,1.024
63.776,1.015
63.806,1.014
63.836,1.021
63.866,1.028
63.896,1.018
63.926,1.012
63.956,1.019
63.986,1.021
64.016,1.021
64.046,1.021
64.076,1.026
64.106,1.025
64.136,1.022
64.166,1.017
64.196,1.021
64.226,1.021
64.256,1.023
64.286,1.021
64.316,1.020
64.346,1.019
64.376,1.024
64.406,1.011
64.436,1.023
64.466,1.021
64.496,1.016
64.526,1.019
64.556,1.021
64.586,1.021
64.616,1.030
64.646,1.015
64.676,1.021
64.706,1.018
64.736,1.017
64.766,1.019
64.796,1.021
