df_hash,22ZHK4.724P3P
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YWVP
person_label,V66
date_time_start,2025-10-31_17-05-59.075000_+03
date_time_start_unix,1761915959.075
date_time_end,2025-10-31_17-14-45.320000_+03
length_difference_noticed,no

time,acc_mag
27.587,1.027
27.617,1.034
27.647,1.031
27.677,1.027
27.707,1.019
27.737,1.022
27.767,1.037
27.797,1.041
27.827,1.036
27.857,1.029
27.887,1.021
27.917,1.022
27.947,1.025
27.977,1.023
28.007,1.022
28.037,1.021
28.067,1.022
28.097,1.026
28.127,1.029
28.157,1.021
28.187,1.031
28.217,1.022
28.247,1.027
28.277,1.028
28.307,1.019
28.337,1.023
28.367,1.030
28.397,1.029
28.427,1.028
28.457,1.023
28.487,1.024
28.517,1.026
28.547,1.024
28.577,1.028
28.607,1.027
28.637,1.023
28.667,1.023
28.697,1.026
28.727,1.029
28.757,1.029
28.787,1.024
28.817,1.026
28.847,1.023
28.877,1.026
28.907,1.029
28.937,1.024
28.967,1.029
28.997,1.023
29.027,1.027
29.057,1.023
29.087,1.032
29.117,1.028
29.147,1.026
29.177,1.024
29.207,1.024
29.237,1.026
29.267,1.028
29.297,1.025
29.327,1.020
29.357,1.027
29.387,1.026
29.417,1.029
29.447,1.026
29.477,1.022
29.507,1.024
29.537,1.024
29.567,1.021
29.597,1.027
29.627,1.028
29.657,1.028
29.687,1.028
29.717,1.028
29.747,1.023
29.777,1.026
29.807,1.030
29.837,1.029
29.867,1.031
29.897,1.031
29.927,1.025
29.957,1.024
29.987,1.025
30.017,1.030
30.047,1.023
30.077,1.028
30.107,1.027
30.137,1.028
30.167,1.028
30.197,1.025
30.227,1.023
30.257,1.027
30.287,1.027
30.317,1.027
30.347,1.027
30.377,1.024
30.407,1.031
30.437,1.034
30.467,1.026
30.497,1.022
30.527,1.021
30.557,1.030
30.587,1.027
30.617,1.030
30.647,1.028
30.677,1.032
30.707,1.026
30.737,1.025
30.767,1.029
30.797,1.023
30.827,1.029
30.857,1.028
30.887,1.026
30.917,1.024
30.947,1.026
30.977,1.024
31.007,1.026
31.037,1.026
31.067,1.029
31.097,1.029
31.127,1.025
31.157,1.029
31.187,1.028
31.217,1.030
31.247,1.029
31.277,1.028
31.307,1.027
31.337,1.024
31.367,1.032
31.397,1.030
31.427,1.027
31.457,1.031
31.487,1.024
31.517,1.026
31.547,1.027
31.577,1.025
31.607,1.025
31.637,1.026
31.667,1.031
31.697,1.030
31.727,1.028
31.757,1.026
31.787,1.026
31.817,1.026
31.847,1.029
31.877,1.028
31.907,1.025
31.937,1.028
31.967,1.030
31.997,1.029
32.027,1.027
32.057,1.025
32.087,1.021
32.117,1.027
32.147,1.024
32.177,1.034
32.207,1.026
32.237,1.030
32.267,1.028
32.297,1.025
32.327,1.026
32.357,1.029
32.387,1.026
32.417,1.025
32.447,1.028
32.477,1.031
32.507,1.031
32.537,1.042
32.567,1.037
32.597,1.033
32.627,1.026
32.657,1.026
32.687,1.021
32.717,1.022
32.747,1.020
32.777,1.021
32.807,1.026
32.837,1.019
32.867,1.021
32.897,1.024
32.927,1.028
32.957,1.029
32.987,1.024
33.017,1.026
33.047,1.024
33.077,1.024
33.107,1.026
33.137,1.028
33.167,1.022
33.197,1.028
33.227,1.027
33.257,1.028
33.287,1.026
33.317,1.025
33.347,1.024
33.377,1.028
33.407,1.029
33.437,1.024
33.467,1.027
33.497,1.026
33.527,1.030
33.557,1.022
33.587,1.026
33.617,1.023
33.647,1.023
33.677,1.031
33.707,1.028
33.737,1.030
33.767,1.018
33.797,1.024
33.827,1.034
33.857,1.032
33.887,1.028
33.917,1.024
33.947,1.022
33.977,1.022
34.007,1.023
34.037,1.026
34.067,1.021
34.097,1.031
34.127,1.032
