df_hash,22ZHK4.QT9BDF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SU53
person_label,V49
date_time_start,2025-10-30_17-54-05.050000_+03
date_time_start_unix,1761832445.05
date_time_end,2025-10-30_18-02-50.778000_+03
length_difference_noticed,no

time,acc_mag
47.121,1.010
47.151,1.019
47.181,1.017
47.211,1.012
47.241,1.010
47.271,1.016
47.301,1.013
47.331,1.013
47.361,1.015
47.391,1.008
47.421,1.013
47.451,1.021
47.481,1.013
47.511,1.012
47.541,1.016
47.571,1.019
47.601,1.013
47.631,1.017
47.661,1.018
47.691,1.015
47.721,1.016
47.751,1.013
47.781,1.014
47.811,1.014
47.841,1.016
47.871,1.013
47.901,1.018
47.931,1.009
47.961,1.018
47.991,1.011
48.021,1.015
48.051,1.011
48.081,1.013
48.111,1.017
48.141,1.015
48.171,1.010
48.201,1.008
48.231,1.014
48.261,1.018
48.291,1.018
48.321,1.013
48.351,1.012
48.381,1.019
48.411,1.015
48.441,1.012
48.471,1.015
48.501,1.016
48.531,1.015
48.561,1.012
48.591,1.016
48.621,1.016
48.651,1.014
48.681,1.012
48.711,1.014
48.741,1.021
48.771,1.014
48.801,1.017
48.831,1.013
48.861,1.007
48.891,1.008
48.921,1.012
48.951,1.013
48.981,1.015
49.011,1.017
49.041,1.017
49.071,1.015
49.101,1.017
49.131,1.009
49.161,1.010
49.191,1.013
49.221,1.014
49.251,1.014
49.281,1.016
49.311,1.014
49.341,1.014
49.371,1.013
49.401,1.017
49.431,1.016
49.461,1.012
49.491,1.013
49.521,1.013
49.551,1.018
49.581,1.009
49.611,1.015
49.641,1.014
49.671,1.016
49.701,1.014
49.731,1.015
49.761,1.014
49.791,1.009
49.821,1.014
49.851,1.018
49.881,1.013
49.911,1.015
49.941,1.013
49.971,1.013
50.001,1.015
50.031,1.018
50.061,1.014
50.091,1.013
50.121,1.016
50.151,1.010
50.181,1.013
50.211,1.016
50.241,1.014
50.271,1.014
50.301,1.014
50.331,1.009
50.361,1.017
50.391,1.015
50.421,1.014
50.451,1.011
50.481,1.017
50.511,1.012
50.541,1.011
50.571,1.008
50.601,1.014
50.631,1.018
50.661,1.021
50.691,1.013
50.721,1.006
50.751,1.010
50.781,1.012
50.811,1.016
50.841,1.017
50.871,1.012
50.901,1.014
50.931,1.013
50.961,1.013
50.991,1.010
51.021,1.014
51.051,1.014
51.081,1.014
51.111,1.008
51.141,1.011
51.171,1.023
51.201,1.030
51.231,1.017
51.261,1.013
51.291,1.011
51.321,1.012
51.351,1.011
51.381,1.014
51.411,1.011
51.441,1.009
51.471,1.012
51.501,1.016
51.531,1.014
51.561,1.012
51.591,1.015
51.621,1.016
51.651,1.016
51.681,1.017
51.711,1.014
51.741,1.014
51.771,1.011
51.801,1.016
51.831,1.015
51.861,1.011
51.891,1.014
51.921,1.011
51.951,1.016
51.981,1.019
52.011,1.013
52.041,1.021
52.071,1.011
52.101,1.013
52.131,1.015
52.161,1.016
52.191,1.014
52.221,1.014
52.251,1.013
52.281,1.010
52.311,1.017
52.341,1.017
52.371,1.010
52.401,1.014
52.431,1.013
52.461,1.014
52.491,1.017
52.521,1.014
52.551,1.016
52.581,1.013
52.611,1.013
52.641,1.015
52.671,1.015
52.701,1.015
52.731,1.014
52.761,1.011
52.791,1.015
52.821,1.016
52.851,1.014
52.881,1.013
52.911,1.010
52.941,1.014
52.971,1.018
53.001,1.015
53.031,1.016
53.061,1.015
53.091,1.013
53.121,1.021
53.151,1.016
53.181,1.011
53.211,1.013
53.241,1.017
53.271,1.016
53.301,1.013
53.331,1.014
53.361,1.011
53.391,1.011
53.421,1.011
53.451,1.011
53.481,1.010
53.511,1.019
53.541,1.016
53.571,1.014
53.601,1.011
53.631,1.010
53.661,1.021
53.691,1.017
53.721,1.015
53.751,1.012
53.781,1.017
53.811,1.015
53.841,1.019
53.871,1.019
53.901,1.007
53.931,1.015
53.961,1.020
53.991,1.009
54.021,1.011
54.051,1.015
54.081,1.010
54.111,1.013
54.141,1.014
54.171,1.010
54.201,1.016
54.231,1.009
54.261,1.016
54.291,1.014
54.321,1.011
54.351,1.014
54.381,1.019
54.411,1.013
54.441,1.016
54.471,1.012
54.501,1.014
54.531,1.015
54.561,1.015
54.591,1.014
54.621,1.011
54.651,1.014
54.681,1.010
54.711,1.014
54.741,1.019
54.771,1.014
54.801,1.011
54.831,1.013
54.861,1.016
54.891,1.020
54.921,1.011
54.951,1.013
