df_hash,22ZHK4.Z1ZPL9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UH07
person_label,V67
date_time_start,2025-10-31_17-31-54.657000_+03
date_time_start_unix,1761917514.657
date_time_end,2025-10-31_17-40-10.548000_+03
length_difference_noticed,no

time,acc_mag
26.811,1.021
26.841,1.029
26.871,1.020
26.901,1.015
26.931,1.024
26.961,1.021
26.991,1.012
27.021,1.018
27.051,1.023
27.081,1.030
27.111,1.022
27.141,1.022
27.171,1.016
27.201,1.015
27.231,1.011
27.261,1.021
27.291,1.015
27.321,1.021
27.351,1.015
27.381,1.019
27.411,1.028
27.441,1.033
27.471,1.025
27.501,1.012
27.531,1.021
27.561,1.025
27.591,1.016
27.621,1.016
27.651,1.021
27.681,1.018
27.711,1.019
27.741,1.018
27.771,1.021
27.801,1.021
27.831,1.026
27.861,1.025
27.891,1.009
27.921,1.019
27.951,1.016
27.981,1.019
28.011,1.017
28.041,1.020
28.071,1.024
28.101,1.025
28.131,1.024
28.161,1.015
28.191,1.016
28.221,1.020
28.251,1.025
28.281,1.020
28.311,1.016
28.341,1.023
28.371,1.019
28.401,1.018
28.431,1.025
28.461,1.019
28.491,1.012
28.521,1.011
28.551,1.023
28.581,1.024
28.611,1.018
28.641,1.018
28.671,1.019
28.701,1.024
28.731,1.020
28.761,1.006
28.791,1.033
28.821,1.025
28.851,1.025
28.881,1.023
28.911,1.020
28.941,1.018
28.971,1.025
29.001,1.021
29.031,1.018
29.061,1.017
29.091,1.020
29.121,1.016
29.151,1.016
29.181,1.028
29.211,1.025
29.241,1.016
29.271,1.020
29.301,1.021
29.331,1.024
29.361,1.021
29.391,1.033
29.421,1.019
29.451,1.028
29.481,1.020
29.511,1.016
29.541,1.020
29.571,1.022
29.601,1.021
29.631,1.021
29.661,1.024
29.691,1.024
29.721,1.023
29.751,1.020
29.781,1.029
29.811,1.024
29.841,1.017
29.871,1.021
29.901,1.022
29.931,1.021
29.961,1.021
29.991,1.022
30.021,1.037
30.051,1.011
30.081,1.018
30.111,1.023
30.141,1.015
30.171,1.019
30.201,1.024
30.231,1.023
30.261,1.021
30.291,1.029
30.321,1.021
30.351,1.021
30.381,1.016
30.411,1.014
30.441,1.025
30.471,1.022
30.501,1.021
30.531,1.024
