df_hash,22ZHK4.UNGTKH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7KWE
person_label,V152
date_time_start,2026-06-08_18-35-23.944000_+03
date_time_start_unix,1780925723.944
date_time_end,2026-06-08_18-48-41.887000_+03
length_difference_noticed,no

time,acc_mag
44.903,1.050
44.933,1.043
44.963,1.043
44.993,1.041
45.023,1.043
45.053,1.036
45.083,1.046
45.113,1.046
45.143,1.050
45.173,1.057
45.203,1.054
45.233,1.047
45.263,1.044
45.293,1.041
45.323,1.045
45.353,1.054
45.383,1.040
45.413,1.042
45.443,1.046
45.473,1.049
45.503,1.054
45.533,1.050
45.563,1.041
45.593,1.042
45.623,1.043
45.653,1.052
45.683,1.053
45.713,1.050
45.743,1.045
45.773,1.047
45.803,1.046
45.833,1.041
45.863,1.058
45.893,1.048
45.923,1.036
45.953,1.045
45.983,1.046
46.013,1.049
46.043,1.046
46.073,1.043
46.103,1.038
46.133,1.050
46.163,1.060
46.193,1.050
46.223,1.033
46.253,1.032
46.283,1.048
46.313,1.049
46.343,1.042
46.373,1.048
46.403,1.046
46.433,1.046
46.463,1.055
46.493,1.041
46.523,1.040
46.553,1.054
46.583,1.052
46.613,1.050
46.643,1.047
46.673,1.044
46.703,1.038
46.733,1.047
46.763,1.045
46.793,1.044
46.823,1.051
46.853,1.045
46.883,1.050
46.913,1.045
46.943,1.050
46.973,1.051
47.003,1.041
47.033,1.044
47.063,1.047
47.093,1.049
47.123,1.043
47.153,1.056
47.183,1.040
47.213,1.043
47.243,1.051
47.273,1.050
47.303,1.046
47.333,1.047
47.363,1.045
47.393,1.046
47.423,1.047
47.453,1.038
47.483,1.040
47.513,1.048
47.543,1.046
47.573,1.051
47.603,1.051
47.633,1.043
47.663,1.047
47.693,1.051
47.723,1.050
47.753,1.042
47.783,1.048
47.813,1.046
47.843,1.048
47.873,1.043
47.903,1.038
47.933,1.056
47.963,1.057
47.993,1.045
48.023,1.043
48.053,1.044
48.083,1.044
48.113,1.049
48.143,1.041
48.173,1.037
48.203,1.054
48.233,1.052
48.263,1.049
48.293,1.047
48.323,1.047
48.353,1.045
48.383,1.047
48.413,1.048
48.443,1.047
48.473,1.049
48.503,1.049
48.533,1.047
48.563,1.039
48.593,1.042
48.623,1.056
48.653,1.053
48.683,1.043
48.713,1.041
48.743,1.045
48.773,1.048
48.803,1.056
48.833,1.035
48.863,1.037
48.893,1.051
48.923,1.048
48.953,1.051
48.983,1.051
49.013,1.045
49.043,1.048
49.073,1.044
49.103,1.044
49.133,1.047
49.163,1.048
49.193,1.053
49.223,1.039
49.253,1.040
49.283,1.055
49.313,1.060
49.343,1.044
49.373,1.042
49.403,1.043
49.433,1.049
49.463,1.045
49.493,1.044
49.523,1.044
49.553,1.055
49.583,1.051
49.613,1.047
49.643,1.048
49.673,1.053
49.703,1.052
49.733,1.045
49.763,1.048
49.793,1.047
49.823,1.047
49.853,1.051
49.883,1.040
49.913,1.041
49.943,1.056
49.973,1.050
50.003,1.048
50.033,1.049
50.063,1.042
50.093,1.044
50.123,1.054
50.153,1.045
50.183,1.044
50.213,1.050
50.243,1.055
50.273,1.049
50.303,1.047
50.333,1.051
50.363,1.049
50.393,1.044
50.423,1.047
50.453,1.043
50.483,1.051
50.513,1.051
50.543,1.045
50.573,1.036
50.603,1.053
50.633,1.058
50.663,1.048
50.693,1.043
50.723,1.042
50.753,1.048
50.783,1.050
50.813,1.046
50.843,1.041
50.873,1.049
50.903,1.053
50.933,1.048
50.963,1.050
50.993,1.048
51.023,1.048
51.053,1.050
51.083,1.047
51.113,1.049
51.143,1.049
51.173,1.046
51.203,1.048
51.233,1.044
51.263,1.053
51.293,1.057
51.323,1.044
51.353,1.044
51.383,1.048
51.413,1.046
51.443,1.048
51.473,1.048
51.503,1.043
51.533,1.049
51.563,1.052
51.593,1.052
51.623,1.049
51.653,1.047
51.683,1.049
51.713,1.049
51.743,1.044
51.773,1.048
51.803,1.051
51.833,1.048
51.863,1.045
51.893,1.034
51.923,1.051
51.953,1.062
51.983,1.047
52.013,1.046
52.043,1.045
52.073,1.046
52.103,1.051
52.133,1.049
52.163,1.042
52.193,1.047
52.223,1.049
52.253,1.046
52.283,1.048
52.313,1.052
52.343,1.048
52.373,1.041
52.403,1.048
52.433,1.048
52.463,1.054
52.493,1.054
52.523,1.040
52.553,1.036
52.583,1.056
52.613,1.054
52.643,1.055
52.673,1.049
52.703,1.048
52.733,1.047
52.763,1.053
52.793,1.044
52.823,1.044
52.853,1.049
52.883,1.049
52.913,1.052
52.943,1.048
52.973,1.049
53.003,1.049
53.033,1.050
53.063,1.050
53.093,1.050
53.123,1.046
53.153,1.052
53.183,1.042
53.213,1.039
53.243,1.056
53.273,1.054
53.303,1.050
