df_hash,22ZHK4.2MRVKE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YH8G
person_label,V146
date_time_start,2026-06-08_16-56-17.756000_+03
date_time_start_unix,1780919777.756
date_time_end,2026-06-08_17-07-00.377000_+03
length_difference_noticed,no

time,ppg_med
27.551,2862
27.576,2767
27.601,2699
27.626,2539
27.651,2292
27.676,2069
27.701,1932
27.726,1809
27.751,1603
27.776,1337
27.801,1141
27.826,1091
27.851,1117
27.876,1093
27.901,980
27.926,832
27.951,690
27.976,506
28.001,216
28.026,-155
28.051,-504
28.076,-760
28.101,-956
28.126,-1172
28.151,-1427
28.176,-1684
28.201,-1915
28.226,-2149
28.251,-2418
28.276,-2699
28.301,-2935
28.326,-3101
28.351,-3216
28.376,-3293
28.401,-3298
28.426,-3185
28.451,-2947
28.476,-2626
28.501,-2272
28.526,-1930
28.551,-1670
28.576,-1565
28.601,-1621
28.626,-1731
28.651,-1772
28.676,-1735
28.701,-1735
28.726,-1852
28.751,-2017
28.776,-2091
28.801,-2059
28.826,-2054
28.851,-2177
28.876,-2346
28.901,-2395
28.926,-2299
28.951,-2216
28.976,-2266
29.001,-2346
29.026,-2250
29.051,-1941
29.076,-1603
29.101,-1371
29.126,-1112
29.151,-599
29.176,136
29.201,786
29.226,1169
29.251,1510
29.276,2179
29.301,3181
29.326,4107
29.351,4677
29.376,5171
29.401,6097
29.426,7480
29.451,8753
29.476,9491
29.501,10061
29.526,11191
29.551,12884
29.576,14118
29.601,13893
29.626,12472
29.651,11217
29.676,11106
29.701,11780
29.726,12396
29.751,13172
29.776,15369
29.801,19299
29.826,22674
29.851,21754
29.876,14695
29.901,3671
29.926,-6687
29.951,-13102
29.976,-15860
30.001,-17432
30.026,-19382
30.051,-21021
30.076,-20880
30.101,-18833
30.126,-16329
30.151,-14752
30.176,-14095
30.201,-13385
30.226,-12049
30.251,-10434
30.276,-9075
30.301,-7912
30.326,-6483
30.351,-4638
30.376,-2723
30.401,-1036
30.426,571
30.451,2412
30.476,4480
30.501,6528
30.526,8513
30.551,10542
30.576,12167
30.601,12068
30.626,8970
30.651,3036
30.676,-3894
30.701,-9732
30.726,-13780
30.751,-16791
30.776,-19527
30.801,-21611
30.826,-22002
30.851,-20332
30.876,-17336
30.901,-13889
30.926,-10069
30.951,-5569
30.976,-867
31.001,2542
31.026,3386
31.051,1801
31.076,-1101
31.101,-4767
31.126,-9734
31.151,-16220
31.176,-22454
31.201,-25106
31.226,-21859
31.251,-13467
31.276,-2958
31.301,7199
31.326,16872
31.351,27102
31.376,32767
31.401,32767
31.426,32767
31.451,32767
31.476,32767
31.501,32767
31.526,32767
31.551,32767
31.576,25635
31.601,10913
31.626,-4586
31.651,-15407
31.676,-18647
31.701,-15452
31.726,-9287
31.751,-2894
31.776,3222
31.801,9686
31.826,16151
31.851,20772
31.876,21953
31.901,20391
31.926,18877
31.951,19606
31.976,21614
32.001,21160
32.026,15007
32.051,3568
32.076,-9085
32.101,-18325
32.126,-22281
32.151,-22551
32.176,-22165
32.201,-23016
32.226,-24933
32.251,-26651
32.276,-27332
32.301,-27245
32.326,-27288
32.351,-28033
32.376,-29210
32.401,-30058
32.426,-30201
32.451,-30198
32.476,-31081
32.501,-32768
32.526,-32768
32.551,-32768
32.576,-32768
32.601,-32768
32.626,-32768
32.651,-32768
32.676,-32768
32.701,-32768
32.726,-14447
32.751,13071
32.776,32767
32.801,32767
32.826,32767
32.851,32767
32.876,32767
32.901,32767
32.926,32767
32.951,32767
32.976,32767
33.001,32767
33.026,32767
33.051,22132
33.076,6826
33.101,4131
33.126,13813
33.151,28277
33.176,32767
33.201,32767
33.226,17245
33.251,-3534
33.276,-20327
33.301,-27752
33.326,-26143
33.351,-19995
33.376,-14366
33.401,-11982
33.426,-12691
33.451,-14869
33.476,-17103
33.501,-18798
33.526,-19793
33.551,-19946
33.576,-19265
33.601,-18206
33.626,-17459
33.651,-17267
33.676,-17090
33.701,-16145
33.726,-14315
33.751,-12373
33.776,-11208
33.801,-10899
33.826,-10685
33.851,-9856
33.876,-8532
33.901,-7427
33.926,-6937
33.951,-6663
33.976,-5922
34.001,-4618
34.026,-3402
34.051,-2987
34.076,-3431
34.101,-4167
34.126,-4593
34.151,-4453
34.176,-3675
34.201,-2176
34.226,-99
34.251,1832
34.276,2592
34.301,1796
34.326,352
34.351,-128
34.376,1265
34.401,3947
34.426,6511
34.451,8097
34.476,8961
34.501,9788
34.526,10820
34.551,11900
34.576,13139
34.601,15009
34.626,17499
34.651,19466
34.676,19383
34.701,16930
34.726,13633
34.751,11686
34.776,12198
34.801,14774
34.826,18622
34.851,23449
34.876,28821
34.901,32767
34.926,32767
34.951,26598
34.976,15313
35.001,2514
35.026,-8376
35.051,-16117
35.076,-21303
35.101,-24613
35.126,-25990
35.151,-25489
35.176,-24192
35.201,-23575
35.226,-23942
35.251,-24013
35.276,-22424
35.301,-19483
35.326,-17098
35.351,-16868
35.376,-18506
35.401,-20274
35.426,-20829
35.451,-20408
35.476,-20290
35.501,-21353
35.526,-23228
35.551,-24511
35.576,-23490
35.601,-18823
35.626,-10163
35.651,1297
35.676,12878
35.701,21531
35.726,25515
35.751,25315
35.776,23014
35.801,20749
35.826,19547
35.851,19271
35.876,19230
35.901,18781
35.926,17706
35.951,16470
35.976,16195
36.001,18020
36.026,22002
36.051,26525
36.076,29029
36.101,27698
36.126,22689
36.151,15837
36.176,9184
36.201,3727
36.226,-683
36.251,-4551
36.276,-8079
36.301,-11151
36.326,-13668
36.351,-15649
36.376,-17023
36.401,-17511
36.426,-16862
36.451,-15223
36.476,-13174
36.501,-11321
36.526,-9778
36.551,-8086
36.576,-5679
36.601,-2519
36.626,686
36.651,2931
36.676,3644
36.701,3081
36.726,2034
36.751,1146
36.776,512
36.801,-110
36.826,-793
36.851,-1228
36.876,-1066
36.901,-378
36.926,302
36.951,427
36.976,-87
37.001,-838
37.026,-1337
37.051,-1396
37.076,-1147
37.101,-798
37.126,-445
37.151,-96
37.176,215
37.201,422
37.226,494
37.251,483
37.276,462
37.301,467
37.326,492
37.351,530
37.376,582
37.401,628
37.426,630
37.451,578
37.476,509
37.501,456
37.526,395
37.551,260
37.576,61
37.601,-83
37.626,-42
37.651,192
37.676,487
37.701,686
37.726,741
37.751,715
37.776,677
37.801,628
37.826,536
37.851,412
37.876,316
37.901,290
37.926,300
37.951,279
37.976,200
38.001,104
38.026,43
38.051,9
38.076,-54
38.101,-175
38.126,-300
38.151,-327
38.176,-196
38.201,55
38.226,319
38.251,497
38.276,562
38.301,546
38.326,491
38.351,418
38.376,334
38.401,257
38.426,214
38.451,218
38.476,248
38.501,265
38.526,243
38.551,197
38.576,156
38.601,127
38.626,80
38.651,-7
38.676,-105
38.701,-129
38.726,-8
38.751,245
38.776,537
38.801,754
38.826,847
38.851,844
38.876,796
38.901,730
38.926,648
38.951,554
38.976,477
39.001,445
39.026,446
39.051,437
39.076,382
39.101,293
39.126,206
39.151,140
39.176,68
39.201,-44
39.226,-182
39.251,-268
39.276,-220
39.301,-22
39.326,245
39.351,470
39.376,581
39.401,584
39.426,527
39.451,451
39.476,369
39.501,287
39.526,227
39.551,211
39.576,234
39.601,260
39.626,253
39.651,210
39.676,156
39.701,106
39.726,41
39.751,-67
39.776,-205
39.801,-298
39.826,-263
39.851,-82
39.876,177
39.901,405
39.926,527
39.951,543
39.976,496
40.001,427
40.026,348
40.051,266
40.076,201
40.101,178
40.126,195
40.151,220
40.176,217
40.201,182
40.226,138
40.251,97
40.276,45
40.301,-37
40.326,-134
40.351,-180
40.376,-111
40.401,74
40.426,306
40.451,490
40.476,574
40.501,571
40.526,525
40.551,464
40.576,398
40.601,334
40.626,292
40.651,287
40.676,306
40.701,315
40.726,291
40.751,240
40.776,187
40.801,135
40.826,67
40.851,-27
40.876,-115
40.901,-130
40.926,-30
40.951,156
40.976,347
41.001,463
41.026,486
41.051,453
41.076,408
41.101,368
41.126,324
41.151,276
41.176,244
41.201,242
41.226,260
41.251,268
41.276,248
41.301,213
41.326,183
41.351,155
41.376,105
41.401,18
41.426,-70
41.451,-92
41.476,2
41.501,194
41.526,403
41.551,547
41.576,599
41.601,581
41.626,536
41.651,485
41.676,434
41.701,387
41.726,355
41.751,345
41.776,338
41.801,307
41.826,243
41.851,167
41.876,105
41.901,61
41.926,7
41.951,-77
41.976,-170
42.001,-208
42.026,-144
42.051,14
42.076,201
42.101,340
42.126,399
42.151,392
42.176,354
42.201,304
42.226,248
42.251,197
42.276,173
42.301,186
42.326,222
42.351,246
42.376,234
42.401,199
42.426,167
42.451,144
42.476,108
42.501,39
42.526,-41
42.551,-74
42.576,-10
42.601,145
42.626,325
42.651,456
42.676,504
42.701,489
42.726,445
42.751,391
42.776,331
42.801,271
42.826,232
42.851,228
42.876,246
42.901,255
42.926,235
42.951,196
42.976,160
43.001,133
43.026,91
43.051,14
43.076,-78
43.101,-129
43.126,-81
43.151,70
43.176,267
43.201,431
43.226,515
43.251,521
43.276,482
43.301,426
43.326,366
43.351,308
43.376,266
43.401,252
43.426,263
43.451,275
43.476,264
43.501,227
43.526,182
43.551,144
43.576,107
43.601,49
43.626,-27
43.651,-82
43.676,-57
43.701,73
43.726,273
43.751,461
43.776,572
43.801,593
43.826,558
43.851,504
43.876,450
43.901,399
43.926,360
43.951,351
43.976,372
44.001,388
44.026,355
44.051,253
44.076,115
44.101,-9
44.126,-97
44.151,-167
44.176,-240
44.201,-302
44.226,-302
44.251,-198
44.276,-4
44.301,209
44.326,369
44.351,449
44.376,469
44.401,465
44.426,446
44.451,408
44.476,355
44.501,310
44.526,298
44.551,313
44.576,326
44.601,309
44.626,263
44.651,214
44.676,176
44.701,135
44.726,69
44.751,-16
44.776,-70
44.801,-36
44.826,97
44.851,279
44.876,425
44.901,481
44.926,454
44.951,385
44.976,311
45.001,244
45.026,185
45.051,144
45.076,138
45.101,164
45.126,195
45.151,202
45.176,180
45.201,152
45.226,140
45.251,134
45.276,106
45.301,48
45.326,1
45.351,28
45.376,159
45.401,360
45.426,555
45.451,683
45.476,733
45.501,732
45.526,710
45.551,680
45.576,648
45.601,626
45.626,636
45.651,686
45.676,754
45.701,796
45.726,766
45.751,630
45.776,376
45.801,19
45.826,-387
45.851,-755
45.876,-987
45.901,-1023
45.926,-874
45.951,-610
45.976,-325
46.001,-87
46.026,77
46.051,174
46.076,225
46.101,246
46.126,257
46.151,273
46.176,305
46.201,349
46.226,391
46.251,415
46.276,415
46.301,399
46.326,376
46.351,343
46.376,290
46.401,213
46.426,133
46.451,96
46.476,139
46.501,264
46.526,422
46.551,544
46.576,589
46.601,557
46.626,480
46.651,393
46.676,319
46.701,265
46.726,237
46.751,231
46.776,235
46.801,227
46.826,192
46.851,133
46.876,57
46.901,-33
46.926,-139
46.951,-242
46.976,-297
47.001,-251
47.026,-87
47.051,154
47.076,395
47.101,564
47.126,629
47.151,603
47.176,524
47.201,434
47.226,368
47.251,340
47.276,338
47.301,334
47.326,308
47.351,260
47.376,207
47.401,160
47.426,114
47.451,68
47.476,43
47.501,76
47.526,186
47.551,343
47.576,485
47.601,565
47.626,578
47.651,554
47.676,515
47.701,467
47.726,407
47.751,350
47.776,314
47.801,295
47.826,268
47.851,222
47.876,171
47.901,132
47.926,92
47.951,26
47.976,-70
48.001,-158
48.026,-177
48.051,-106
48.076,15
48.101,121
48.126,166
48.151,153
48.176,103
48.201,39
48.226,-31
48.251,-97
48.276,-147
48.301,-177
48.326,-195
48.351,-212
48.376,-235
48.401,-262
48.426,-291
48.451,-321
48.476,-353
48.501,-395
48.526,-444
48.551,-474
48.576,-431
48.601,-275
48.626,-33
48.651,195
48.676,320
48.701,334
48.726,319
48.751,352
48.776,428
48.801,492
48.826,526
48.851,589
48.876,735
48.901,933
48.926,1089
48.951,1167
48.976,1243
49.001,1401
49.026,1612
49.051,1757
49.076,1796
49.101,1851
49.126,2080
49.151,2486
49.176,2916
49.201,3242
49.226,3491
49.251,3753
49.276,4009
49.301,4133
49.326,4086
49.351,4011
49.376,4078
49.401,4256
49.426,4347
49.451,4242
49.476,4057
49.501,3954
49.526,3888
49.551,3652
49.576,3172
49.601,2636
49.626,2260
49.651,1991
49.676,1613
49.701,1105
49.726,712
49.751,484
49.776,-97
49.801,-1748
49.826,-4504
49.851,-7429
49.876,-9459
49.901,-10523
49.926,-11540
49.951,-13153
49.976,-14738
50.001,-15059
50.026,-13988
50.051,-13170
50.076,-14506
50.101,-17893
50.126,-20804
50.151,-20408
50.176,-16147
50.201,-10077
50.226,-4720
50.251,-810
50.276,2723
50.301,6769
50.326,10418
50.351,11511
50.376,8724
50.401,3034
50.426,-2786
50.451,-6043
50.476,-5665
50.501,-2402
50.526,2139
50.551,6656
50.576,10679
50.601,14311
50.626,17622
50.651,20309
50.676,21936
50.701,22409
50.726,22062
50.751,21178
50.776,19586
50.801,16940
50.826,13452
50.851,10014
50.876,7283
50.901,4758
50.926,1284
50.951,-3157
50.976,-6450
51.001,-5883
51.026,-1154
51.051,4379
51.076,6153
51.101,2516
51.126,-3660
51.151,-7799
51.176,-8115
51.201,-7129
51.226,-8619
51.251,-13223
51.276,-17285
51.301,-16111
51.326,-8298
51.351,3037
51.376,12968
51.401,18487
51.426,19941
51.451,19548
51.476,19023
51.501,18461
51.526,16827
51.551,12995
51.576,6434
51.601,-2494
51.626,-12450
51.651,-21457
51.676,-27893
51.701,-31609
51.726,-32768
51.751,-32768
51.776,-32768
51.801,-32768
51.826,-32768
51.851,-32768
51.876,-23296
51.901,-12790
51.926,-3002
51.951,6143
51.976,14654
52.001,21171
52.026,23729
52.051,21928
52.076,17934
52.101,14832
52.126,13918
52.151,13910
52.176,12962
52.201,11068
52.226,9943
52.251,10485
52.276,10984
52.301,8567
52.326,2540
52.351,-4160
52.376,-7298
52.401,-5145
52.426,137
52.451,4764
52.476,6615
52.501,6266
52.526,5359
52.551,4706
52.576,4103
52.601,3419
52.626,3156
52.651,3894
52.676,5561
52.701,7442
52.726,8544
52.751,7716
52.776,3882
52.801,-2838
52.826,-9829
52.851,-12581
52.876,-8079
52.901,1605
52.926,9637
52.951,9549
52.976,962
53.001,-9794
53.026,-15155
53.051,-12764
53.076,-6701
53.101,-2660
53.126,-2337
53.151,-2611
53.176,218
53.201,6059
53.226,10970
53.251,10997
53.276,5725
53.301,-1669
53.326,-7210
53.351,-8739
53.376,-6457
53.401,-1856
53.426,3442
53.451,8230
53.476,11851
53.501,14139
53.526,15072
53.551,14314
53.576,11253
53.601,5764
53.626,-1028
53.651,-7070
53.676,-10734
53.701,-11936
53.726,-11818
53.751,-11386
53.776,-10640
53.801,-9094
53.826,-6879
53.851,-4963
53.876,-4192
53.901,-4324
53.926,-4211
53.951,-2888
53.976,-326
54.001,2809
54.026,5792
54.051,8006
54.076,8715
54.101,7152
54.126,3175
54.151,-2246
54.176,-7440
54.201,-11034
54.226,-12535
54.251,-12037
54.276,-9681
54.301,-5683
54.326,-773
54.351,3802
54.376,7035
54.401,8868
54.426,10016
54.451,11058
54.476,11888
54.501,12054
54.526,11353
54.551,9817
54.576,7241
54.601,3201
54.626,-2145
54.651,-7517
54.676,-11257
54.701,-12858
54.726,-13482
